Outlet_Size,Outlet_Location_Type,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Type,Item_Outlet_Sales
Medium,Tier 1,Regular,0.144856342,Snack Foods,100.5332,OUT049,Supermarket Type1,1127.8652
Medium,Tier 3,Low Fat,0.126292985,Fruits and Vegetables,88.6198,OUT018,Supermarket Type2,1133.8574
Medium,Tier 3,Low Fat,0.147023834,Breads,93.7436,OUT018,Supermarket Type2,1134.5232
Small,Tier 1,Regular,0.078929571,Frozen Foods,79.9276,OUT046,Supermarket Type1,1137.1864
Small,Tier 1,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,Supermarket Type1,1137.1864
Medium,Tier 1,Low Fat,0.071188446,Soft Drinks,111.9518,OUT049,Supermarket Type1,1138.518
Medium,Tier 1,Regular,0.076878416,Snack Foods,113.9518,OUT049,Supermarket Type1,1138.518
Small,Tier 2,Low Fat,0.0,Meat,40.2822,OUT035,Supermarket Type1,1139.1838
Medium,Tier 3,Low Fat,0.09384335,Baking Goods,142.3812,OUT018,Supermarket Type2,1139.8496
Small,Tier 2,Low Fat,0.09344495,Baking Goods,141.0812,OUT035,Supermarket Type1,1139.8496
Medium,Tier 3,Regular,0.105573769,Frozen Foods,143.9812,OUT018,Supermarket Type2,1139.8496
Medium,Tier 3,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,Supermarket Type2,1141.847
High,Tier 3,Low Fat,0.044460448,Dairy,88.7856,OUT013,Supermarket Type1,1142.5128
High,Tier 3,Regular,0.105220024,Baking Goods,102.7648,OUT013,Supermarket Type1,1142.5128
Medium,Tier 3,Regular,0.061424738,Breakfast,57.7588,OUT018,Supermarket Type2,1145.176
High,Tier 3,Low Fat,0.096333029,Household,57.8588,OUT013,Supermarket Type1,1145.176
Medium,Tier 3,Regular,0.025473816,Baking Goods,83.1934,OUT018,Supermarket Type2,1146.5076
Medium,Tier 3,Regular,0.076354362,Frozen Foods,192.1846,OUT018,Supermarket Type2,1146.5076
Medium,Tier 1,Low Fat,0.117095014,Frozen Foods,78.067,OUT049,Supermarket Type1,1148.505
Medium,Tier 3,Low Fat,0.0,Fruits and Vegetables,45.2402,OUT018,Supermarket Type2,1148.505
Medium,Tier 1,Regular,0.04163619,Frozen Foods,47.3376,OUT049,Supermarket Type1,1150.5024
Small,Tier 2,Low Fat,0.048931174,Household,127.3336,OUT035,Supermarket Type1,1150.5024
Small,Tier 2,Low Fat,0.025963795,Household,46.3376,OUT035,Supermarket Type1,1150.5024
Medium,Tier 1,Low Fat,0.07585337,Health and Hygiene,36.8532,OUT049,Supermarket Type1,1150.5024
Small,Tier 2,Low Fat,0.090850115,Hard Drinks,126.6336,OUT035,Supermarket Type1,1150.5024
Small,Tier 1,Low Fat,0.143129124,Frozen Foods,58.8878,OUT046,Supermarket Type1,1151.1682
High,Tier 3,Low Fat,0.039544237,Snack Foods,163.6526,OUT013,Supermarket Type1,1151.1682
Medium,Tier 1,Low Fat,0.061154604,Breakfast,165.3526,OUT049,Supermarket Type1,1151.1682
Small,Tier 2,Regular,0.062212713,Baking Goods,88.1514,OUT035,Supermarket Type1,1151.1682
High,Tier 3,Low Fat,0.060198496,Starchy Foods,162.9526,OUT013,Supermarket Type1,1151.1682
Medium,Tier 3,Low Fat,0.143712172,Frozen Foods,60.2878,OUT018,Supermarket Type2,1151.1682
High,Tier 3,Low Fat,0.011603492,Frozen Foods,97.741,OUT013,Supermarket Type1,1158.492
Small,Tier 2,Low Fat,0.031938828,Canned,114.1492,OUT035,Supermarket Type1,1158.492
Medium,Tier 1,Regular,0.18614827,Baking Goods,78.2328,OUT049,Supermarket Type1,1158.492
Small,Tier 1,Low Fat,0.130415118,Baking Goods,75.9328,OUT046,Supermarket Type1,1158.492
Small,Tier 1,Low Fat,0.141792841,Starchy Foods,89.7172,OUT046,Supermarket Type1,1159.8236
Medium,Tier 3,Low Fat,0.029902679,Soft Drinks,144.3444,OUT018,Supermarket Type2,1161.1552
Medium,Tier 3,Low Fat,0.079952983,Meat,62.7826,OUT018,Supermarket Type2,1162.4868
Medium,Tier 3,Low Fat,0.049505857,Snack Foods,195.3478,OUT018,Supermarket Type2,1162.4868
Medium,Tier 1,Low Fat,0.128289285,Snack Foods,104.9622,OUT049,Supermarket Type1,1164.4842
Small,Tier 1,Low Fat,0.120543611,Fruits and Vegetables,45.806,OUT046,Supermarket Type1,1165.15
High,Tier 3,Regular,0.032427039,Frozen Foods,147.7102,OUT013,Supermarket Type1,1166.4816
High,Tier 3,Low Fat,0.167444431,Household,194.6136,OUT013,Supermarket Type1,1166.4816
Small,Tier 1,Low Fat,0.0,Soft Drinks,147.5102,OUT046,Supermarket Type1,1166.4816
Medium,Tier 1,Regular,0.016622448,Fruits and Vegetables,50.2034,OUT049,Supermarket Type1,1166.4816
Medium,Tier 3,Low Fat,0.154244343,Canned,77.9986,OUT018,Supermarket Type2,1168.479
Small,Tier 2,Low Fat,0.030697825,Hard Drinks,42.877,OUT035,Supermarket Type1,1168.479
High,Tier 3,Low Fat,0.064621927,Fruits and Vegetables,196.6794,OUT013,Supermarket Type1,1170.4764
Small,Tier 2,Low Fat,0.038917891,Soft Drinks,35.919,OUT035,Supermarket Type1,1171.808
Medium,Tier 1,Regular,0.128235131,Snack Foods,169.2816,OUT049,Supermarket Type1,1174.4712
Medium,Tier 3,Low Fat,0.055154296,Baking Goods,195.5452,OUT018,Supermarket Type2,1174.4712
Medium,Tier 3,Low Fat,0.014280554,Household,148.0418,OUT018,Supermarket Type2,1177.1344
Medium,Tier 1,Regular,0.025205909,Canned,149.1418,OUT049,Supermarket Type1,1177.1344
Small,Tier 2,Low Fat,0.153960209,Starchy Foods,105.9938,OUT035,Supermarket Type1,1179.1318
Medium,Tier 3,Regular,0.09031453,Snack Foods,130.5626,OUT018,Supermarket Type2,1180.4634
Medium,Tier 3,Low Fat,0.0674819,Snack Foods,234.859,OUT018,Supermarket Type2,1181.795
Medium,Tier 1,Low Fat,0.055476238,Dairy,196.8768,OUT049,Supermarket Type1,1182.4608
Small,Tier 1,Low Fat,0.01732573,Soft Drinks,197.9768,OUT046,Supermarket Type1,1182.4608
Medium,Tier 1,Regular,0.058207114,Snack Foods,59.1562,OUT049,Supermarket Type1,1185.124
Medium,Tier 3,Low Fat,0.015334003,Canned,92.7146,OUT018,Supermarket Type2,1185.7898
Small,Tier 1,Low Fat,0.0,Hard Drinks,108.9596,OUT046,Supermarket Type1,1186.4556
Small,Tier 2,Regular,0.012260981,Snack Foods,131.7284,OUT035,Supermarket Type1,1186.4556
Small,Tier 2,Low Fat,0.08062523,Household,168.379,OUT035,Supermarket Type1,1188.453
Small,Tier 1,Low Fat,0.127541722,Frozen Foods,84.9224,OUT046,Supermarket Type1,1193.1136
Small,Tier 1,Low Fat,0.112896669,Soft Drinks,36.0848,OUT046,Supermarket Type1,1193.1136
Medium,Tier 1,Low Fat,0.078290271,Canned,93.1804,OUT049,Supermarket Type1,1194.4452
Medium,Tier 3,Low Fat,0.136286138,Fruits and Vegetables,170.9106,OUT018,Supermarket Type2,1197.7742
Medium,Tier 1,Low Fat,0.037953762,Health and Hygiene,38.448,OUT049,Supermarket Type1,1198.44
High,Tier 3,Regular,0.017844609,Snack Foods,81.396,OUT013,Supermarket Type1,1198.44
Medium,Tier 1,Low Fat,0.0,Baking Goods,148.705,OUT049,Supermarket Type1,1198.44
Small,Tier 2,Regular,0.067940657,Dairy,119.044,OUT035,Supermarket Type1,1198.44
Medium,Tier 3,Regular,0.104933928,Canned,78.796,OUT018,Supermarket Type2,1198.44
Small,Tier 1,Low Fat,0.139228412,Canned,49.5376,OUT046,Supermarket Type1,1198.44
Medium,Tier 3,Low Fat,0.0,Others,108.6912,OUT018,Supermarket Type2,1201.1032
Small,Tier 1,Regular,0.156831826,Dairy,241.0538,OUT046,Supermarket Type1,1201.769
Small,Tier 1,Low Fat,0.037955094,Frozen Foods,62.151,OUT046,Supermarket Type1,1201.769
High,Tier 3,Low Fat,0.041886576,Snack Foods,92.1462,OUT013,Supermarket Type1,1203.1006
Medium,Tier 1,Low Fat,0.028642712,Household,149.0708,OUT049,Supermarket Type1,1203.7664
Medium,Tier 1,Low Fat,0.072097449,Snack Foods,119.3098,OUT049,Supermarket Type1,1205.098
Medium,Tier 1,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,Supermarket Type1,1207.0954
Small,Tier 2,Regular,0.183260221,Dairy,108.557,OUT035,Supermarket Type1,1208.427
Small,Tier 2,Low Fat,0.058725131,Health and Hygiene,82.3618,OUT035,Supermarket Type1,1208.427
Small,Tier 1,Regular,0.038500421,Fruits and Vegetables,110.757,OUT046,Supermarket Type1,1208.427
Small,Tier 2,Low Fat,0.021581922,Canned,53.3982,OUT035,Supermarket Type1,1209.7586
Small,Tier 1,Regular,0.0111263,Snack Foods,87.254,OUT046,Supermarket Type1,1211.756
Medium,Tier 3,Low Fat,0.014921093,Starchy Foods,173.908,OUT018,Supermarket Type2,1211.756
High,Tier 3,Low Fat,0.0,Baking Goods,88.054,OUT013,Supermarket Type1,1211.756
Medium,Tier 1,Low Fat,0.0,Baking Goods,84.654,OUT049,Supermarket Type1,1211.756
Medium,Tier 3,Regular,0.056833394,Snack Foods,61.9168,OUT018,Supermarket Type2,1214.4192
Small,Tier 2,Low Fat,0.07461309,Dairy,108.7228,OUT035,Supermarket Type1,1215.7508
Medium,Tier 1,Low Fat,0.086916126,Hard Drinks,153.3682,OUT049,Supermarket Type1,1219.7456
Small,Tier 2,Low Fat,0.027699863,Soft Drinks,87.9198,OUT035,Supermarket Type1,1221.0772
Small,Tier 2,Regular,0.028118435,Fruits and Vegetables,46.7744,OUT035,Supermarket Type1,1222.4088
Medium,Tier 3,Low Fat,0.126897925,Canned,110.6886,OUT018,Supermarket Type2,1223.0746
Small,Tier 2,Low Fat,0.100055601,Frozen Foods,112.4886,OUT035,Supermarket Type1,1223.0746
Small,Tier 1,Low Fat,0.076735903,Dairy,62.4536,OUT046,Supermarket Type1,1225.072
Small,Tier 2,Regular,0.02536567,Baking Goods,82.7934,OUT035,Supermarket Type1,1228.401
Medium,Tier 1,Regular,0.114294512,Dairy,94.9436,OUT049,Supermarket Type1,1229.0668
Medium,Tier 3,Low Fat,0.029812714,Baking Goods,95.4436,OUT018,Supermarket Type2,1229.0668
Medium,Tier 3,Low Fat,0.168064909,Household,176.2712,OUT018,Supermarket Type2,1230.3984
Small,Tier 1,Low Fat,0.014301326,Household,103.0332,OUT046,Supermarket Type1,1230.3984
High,Tier 3,Regular,0.0,Fruits and Vegetables,112.4544,OUT013,Supermarket Type1,1230.3984
Medium,Tier 1,Low Fat,0.141475625,Snack Foods,155.0998,OUT049,Supermarket Type1,1230.3984
High,Tier 3,Regular,0.094488485,Breakfast,100.7332,OUT013,Supermarket Type1,1230.3984
High,Tier 3,Regular,0.009613854,Dairy,122.973,OUT013,Supermarket Type1,1231.73
Medium,Tier 1,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,Supermarket Type1,1231.73
Medium,Tier 3,Low Fat,0.052421981,Health and Hygiene,123.773,OUT018,Supermarket Type2,1231.73
High,Tier 3,Low Fat,0.12566436,Health and Hygiene,123.473,OUT013,Supermarket Type1,1231.73
Small,Tier 2,Regular,0.029158763,Canned,174.537,OUT035,Supermarket Type1,1235.059
Small,Tier 2,Regular,0.036903419,Meat,175.137,OUT035,Supermarket Type1,1235.059
Medium,Tier 1,Low Fat,0.119721451,Household,95.5094,OUT049,Supermarket Type1,1237.7222
Small,Tier 2,Low Fat,0.0,Canned,96.4094,OUT035,Supermarket Type1,1237.7222
Medium,Tier 1,Regular,0.100330684,Fruits and Vegetables,123.4388,OUT049,Supermarket Type1,1238.388
Small,Tier 2,Low Fat,0.058121214,Health and Hygiene,104.499,OUT035,Supermarket Type1,1238.388
Medium,Tier 1,Regular,0.112840108,Soft Drinks,122.0388,OUT049,Supermarket Type1,1238.388
Medium,Tier 3,Low Fat,0.041459372,Household,89.6514,OUT018,Supermarket Type2,1239.7196
Medium,Tier 3,Regular,0.126199917,Fruits and Vegetables,178.4028,OUT018,Supermarket Type2,1239.7196
Small,Tier 2,Low Fat,0.021220113,Hard Drinks,55.1298,OUT035,Supermarket Type1,1240.3854
Small,Tier 1,Low Fat,0.017744999,Canned,177.9686,OUT046,Supermarket Type1,1244.3802
Small,Tier 1,Low Fat,0.070780558,Soft Drinks,114.586,OUT046,Supermarket Type1,1245.046
High,Tier 3,Low Fat,0.020374875,Snack Foods,248.0092,OUT013,Supermarket Type1,1245.046
Medium,Tier 3,Low Fat,0.020798905,Fruits and Vegetables,123.6046,OUT018,Supermarket Type2,1245.046
Medium,Tier 3,Regular,0.108679906,Dairy,95.6752,OUT018,Supermarket Type2,1246.3776
Medium,Tier 1,Regular,0.093801337,Snack Foods,126.0704,OUT049,Supermarket Type1,1251.704
Medium,Tier 3,Low Fat,0.082888496,Canned,178.6002,OUT018,Supermarket Type2,1253.7014
Medium,Tier 1,Regular,0.024987903,Fruits and Vegetables,97.341,OUT049,Supermarket Type1,1255.033
Medium,Tier 1,Regular,0.06670068,Snack Foods,55.2956,OUT049,Supermarket Type1,1255.6988
Medium,Tier 1,Regular,0.150248468,Frozen Foods,155.2288,OUT049,Supermarket Type1,1257.0304
Small,Tier 1,Regular,0.030624844,Snack Foods,252.2724,OUT046,Supermarket Type1,1258.362
Medium,Tier 1,Regular,0.152364317,Fruits and Vegetables,254.0382,OUT049,Supermarket Type1,1261.691
Medium,Tier 1,Low Fat,0.023988387,Household,104.5964,OUT049,Supermarket Type1,1262.3568
Medium,Tier 3,Low Fat,0.042352822,Dairy,51.6982,OUT018,Supermarket Type2,1262.3568
Small,Tier 1,Low Fat,0.036641597,Household,178.7318,OUT046,Supermarket Type1,1263.0226
Small,Tier 1,Low Fat,0.022566975,Frozen Foods,97.3068,OUT046,Supermarket Type1,1263.6884
Medium,Tier 3,Low Fat,0.026950104,Meat,128.402,OUT018,Supermarket Type2,1265.02
High,Tier 3,Low Fat,0.045631231,Fruits and Vegetables,128.102,OUT013,Supermarket Type1,1265.02
Medium,Tier 3,Low Fat,0.058369013,Snack Foods,115.2834,OUT018,Supermarket Type2,1267.0174
Small,Tier 2,Low Fat,0.093653464,Snack Foods,113.3834,OUT035,Supermarket Type1,1267.0174
Medium,Tier 1,Low Fat,0.031273559,Seafood,160.0604,OUT049,Supermarket Type1,1267.6832
Small,Tier 1,Regular,0.08175276,Fruits and Vegetables,89.0488,OUT046,Supermarket Type1,1267.6832
Medium,Tier 1,Regular,0.104245198,Canned,105.3622,OUT049,Supermarket Type1,1270.3464
Medium,Tier 1,Low Fat,0.022980361,Fruits and Vegetables,117.7492,OUT049,Supermarket Type1,1274.3412
Small,Tier 2,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,Supermarket Type1,1274.3412
Medium,Tier 3,Low Fat,0.122221269,Snack Foods,45.9428,OUT018,Supermarket Type2,1274.3412
Medium,Tier 3,Regular,0.091950972,Meat,184.2292,OUT018,Supermarket Type2,1277.0044
Medium,Tier 3,Low Fat,0.067055339,Frozen Foods,184.2292,OUT018,Supermarket Type2,1277.0044
Small,Tier 1,Low Fat,0.077193561,Soft Drinks,89.9146,OUT046,Supermarket Type1,1277.0044
High,Tier 3,Low Fat,0.08226356,Health and Hygiene,160.492,OUT013,Supermarket Type1,1278.336
High,Tier 3,Low Fat,0.14825809,Fruits and Vegetables,108.428,OUT013,Supermarket Type1,1278.336
Medium,Tier 3,Low Fat,0.091237452,Hard Drinks,128.9336,OUT018,Supermarket Type2,1278.336
Medium,Tier 3,Regular,0.033692089,Frozen Foods,76.2354,OUT018,Supermarket Type2,1279.0018
Small,Tier 1,Low Fat,0.156298858,Meat,162.1578,OUT046,Supermarket Type1,1283.6624
Medium,Tier 1,Regular,0.117667492,Snack Foods,159.5578,OUT049,Supermarket Type1,1283.6624
Small,Tier 2,Regular,0.037757166,Snack Foods,126.7994,OUT035,Supermarket Type1,1284.994
Medium,Tier 3,Regular,0.020803054,Breakfast,129.7994,OUT018,Supermarket Type2,1284.994
Small,Tier 1,Regular,0.064618976,Starchy Foods,89.8804,OUT046,Supermarket Type1,1286.3256
Medium,Tier 3,Regular,0.047684831,Dairy,212.5876,OUT018,Supermarket Type2,1286.3256
Small,Tier 2,Low Fat,0.115010655,Soft Drinks,161.5236,OUT035,Supermarket Type1,1288.9888
Medium,Tier 1,Low Fat,0.058827557,Health and Hygiene,80.8618,OUT049,Supermarket Type1,1288.9888
Small,Tier 1,Low Fat,0.115032406,Soft Drinks,161.0236,OUT046,Supermarket Type1,1288.9888
Small,Tier 2,Low Fat,0.027310252,Fruits and Vegetables,101.0042,OUT035,Supermarket Type1,1289.6546
Small,Tier 2,Low Fat,0.091467933,Household,159.7894,OUT035,Supermarket Type1,1294.3152
Medium,Tier 1,Regular,0.128126825,Soft Drinks,183.6924,OUT049,Supermarket Type1,1295.6468
Medium,Tier 1,Low Fat,0.036016619,Snack Foods,186.3924,OUT049,Supermarket Type1,1295.6468
High,Tier 3,Low Fat,0.099026525,Fruits and Vegetables,93.8462,OUT013,Supermarket Type1,1295.6468
Small,Tier 2,Low Fat,0.163910938,Household,119.2124,OUT035,Supermarket Type1,1303.6364
Small,Tier 1,Low Fat,0.124452048,Frozen Foods,118.5124,OUT046,Supermarket Type1,1303.6364
High,Tier 3,Low Fat,0.013830218,Soft Drinks,45.306,OUT013,Supermarket Type1,1304.968
Medium,Tier 1,Low Fat,0.040577878,Fruits and Vegetables,188.224,OUT049,Supermarket Type1,1304.968
Small,Tier 2,Low Fat,0.159937597,Snack Foods,93.912,OUT035,Supermarket Type1,1304.968
Small,Tier 1,Low Fat,0.159967845,Snack Foods,94.712,OUT046,Supermarket Type1,1304.968
Medium,Tier 3,Low Fat,0.066892471,Fruits and Vegetables,186.424,OUT018,Supermarket Type2,1304.968
Medium,Tier 1,Low Fat,0.044995631,Dairy,89.2198,OUT049,Supermarket Type1,1308.297
High,Tier 3,Low Fat,0.041071581,Canned,82.5934,OUT013,Supermarket Type1,1310.2944
Small,Tier 2,Low Fat,0.034646067,Household,120.6782,OUT035,Supermarket Type1,1310.9602
Small,Tier 1,Low Fat,0.009878459,Health and Hygiene,47.6034,OUT046,Supermarket Type1,1312.2918
Medium,Tier 3,Low Fat,0.130946374,Baking Goods,76.7328,OUT018,Supermarket Type2,1312.9576
Small,Tier 1,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,Supermarket Type1,1314.2892
Medium,Tier 3,Low Fat,0.038610722,Dairy,61.4852,OUT018,Supermarket Type2,1314.2892
Small,Tier 1,Regular,0.050085152,Fruits and Vegetables,164.7526,OUT046,Supermarket Type1,1315.6208
Medium,Tier 3,Low Fat,0.035893143,Fruits and Vegetables,131.3284,OUT018,Supermarket Type2,1318.284
Small,Tier 1,Low Fat,0.009410528,Baking Goods,73.738,OUT046,Supermarket Type1,1318.284
Small,Tier 2,Regular,0.06321435,Dairy,88.3856,OUT035,Supermarket Type1,1318.284
Small,Tier 2,Low Fat,0.081119484,Meat,220.0798,OUT035,Supermarket Type1,1322.2788
Small,Tier 1,Low Fat,0.094219593,Soft Drinks,189.9872,OUT046,Supermarket Type1,1323.6104
Small,Tier 1,Regular,0.11411709,Dairy,92.7436,OUT046,Supermarket Type1,1323.6104
Medium,Tier 3,Low Fat,0.061313057,Soft Drinks,93.3436,OUT018,Supermarket Type2,1323.6104
Medium,Tier 3,Regular,0.0,Snack Foods,147.2418,OUT018,Supermarket Type2,1324.2762
High,Tier 3,Low Fat,0.092516598,Breads,120.1098,OUT013,Supermarket Type1,1325.6078
Small,Tier 2,Low Fat,0.071244438,Frozen Foods,119.2098,OUT035,Supermarket Type1,1325.6078
Medium,Tier 3,Low Fat,0.012148836,Others,191.353,OUT018,Supermarket Type2,1328.271
Medium,Tier 1,Low Fat,0.072994847,Fruits and Vegetables,189.253,OUT049,Supermarket Type1,1328.271
Medium,Tier 3,Low Fat,0.107834541,Snack Foods,146.5076,OUT018,Supermarket Type2,1330.2684
High,Tier 3,Regular,0.04192285,Snack Foods,54.764,OUT013,Supermarket Type1,1331.6
Medium,Tier 1,Low Fat,0.083133128,Baking Goods,120.1756,OUT049,Supermarket Type1,1332.9316
Medium,Tier 3,Low Fat,0.018097419,Health and Hygiene,96.9094,OUT018,Supermarket Type2,1332.9316
Small,Tier 2,Low Fat,0.126359196,Canned,109.2886,OUT035,Supermarket Type1,1334.2632
High,Tier 3,Low Fat,0.079279489,Canned,77.2644,OUT013,Supermarket Type1,1335.5948
Medium,Tier 3,Low Fat,0.096689673,Soft Drinks,168.0158,OUT018,Supermarket Type2,1336.9264
Medium,Tier 3,Regular,0.02236923,Breads,104.799,OUT018,Supermarket Type2,1341.587
Medium,Tier 1,Regular,0.034410585,Frozen Foods,111.3544,OUT049,Supermarket Type1,1342.2528
Small,Tier 1,Regular,0.065520388,Meat,168.3816,OUT046,Supermarket Type1,1342.2528
Medium,Tier 1,Regular,0.018591464,Snack Foods,112.9544,OUT049,Supermarket Type1,1342.2528
Small,Tier 1,Regular,0.179077475,Meat,94.3752,OUT046,Supermarket Type1,1342.2528
Small,Tier 2,Low Fat,0.085938463,Snack Foods,168.6816,OUT035,Supermarket Type1,1342.2528
Medium,Tier 1,Regular,0.0,Dairy,96.7752,OUT049,Supermarket Type1,1342.2528
Small,Tier 1,Low Fat,0.105597316,Fruits and Vegetables,83.4908,OUT046,Supermarket Type1,1342.2528
High,Tier 3,Low Fat,0.0304697,Health and Hygiene,191.3162,OUT013,Supermarket Type1,1346.9134
Medium,Tier 3,Low Fat,0.105104552,Frozen Foods,121.7072,OUT018,Supermarket Type2,1347.5792
High,Tier 3,Low Fat,0.077389797,Health and Hygiene,60.8536,OUT013,Supermarket Type1,1347.5792
Small,Tier 2,Low Fat,0.141789197,Snack Foods,121.9072,OUT035,Supermarket Type1,1347.5792
Small,Tier 1,Low Fat,0.0,Fruits and Vegetables,54.1298,OUT046,Supermarket Type1,1348.245
Small,Tier 2,Low Fat,0.097866209,Canned,51.1324,OUT035,Supermarket Type1,1350.2424
Small,Tier 2,Low Fat,0.06355415,Frozen Foods,149.4708,OUT035,Supermarket Type1,1354.2372
Small,Tier 2,Low Fat,0.097043739,Dairy,57.493,OUT035,Supermarket Type1,1358.232
Medium,Tier 3,Regular,0.082085787,Fruits and Vegetables,92.2488,OUT018,Supermarket Type2,1358.232
Medium,Tier 3,Low Fat,0.0,Household,114.686,OUT018,Supermarket Type2,1358.232
High,Tier 3,Regular,0.057373797,Meat,151.4366,OUT013,Supermarket Type1,1360.2294
Small,Tier 1,Low Fat,0.057313443,Snack Foods,53.3956,OUT046,Supermarket Type1,1364.89
Medium,Tier 3,Low Fat,0.021336565,Soft Drinks,153.6024,OUT018,Supermarket Type2,1366.2216
High,Tier 3,Low Fat,0.099674817,Fruits and Vegetables,112.2518,OUT013,Supermarket Type1,1366.2216
High,Tier 3,Regular,0.075107656,Dairy,112.8176,OUT013,Supermarket Type1,1374.2112
Small,Tier 1,Low Fat,0.128090139,Snack Foods,107.0622,OUT046,Supermarket Type1,1376.2086
Medium,Tier 1,Regular,0.041538713,Frozen Foods,93.1804,OUT049,Supermarket Type1,1378.206
Medium,Tier 3,Low Fat,0.112553853,Snack Foods,59.022,OUT018,Supermarket Type2,1378.206
Small,Tier 1,Low Fat,0.01530184,Snack Foods,154.434,OUT046,Supermarket Type1,1378.206
Small,Tier 2,Low Fat,0.135707553,Hard Drinks,170.6422,OUT035,Supermarket Type1,1379.5376
High,Tier 3,Low Fat,0.046232445,Baking Goods,99.4384,OUT013,Supermarket Type1,1379.5376
High,Tier 3,Regular,0.078339081,Snack Foods,172.9422,OUT013,Supermarket Type1,1379.5376
Medium,Tier 3,Low Fat,0.014332439,Household,57.1614,OUT018,Supermarket Type2,1381.535
Small,Tier 2,Low Fat,0.058121214,Snack Foods,115.8834,OUT035,Supermarket Type1,1382.2008
Small,Tier 1,Low Fat,0.071371458,Health and Hygiene,125.2362,OUT046,Supermarket Type1,1384.1982
Medium,Tier 3,Low Fat,0.0,Fruits and Vegetables,196.3426,OUT018,Supermarket Type2,1384.1982
Medium,Tier 3,Regular,0.047996608,Frozen Foods,127.0362,OUT018,Supermarket Type2,1384.1982
Small,Tier 1,Low Fat,0.0,Fruits and Vegetables,198.5426,OUT046,Supermarket Type1,1384.1982
Medium,Tier 3,Low Fat,0.003606726,Hard Drinks,154.1998,OUT018,Supermarket Type2,1384.1982
Medium,Tier 1,Low Fat,0.0,Canned,105.628,OUT049,Supermarket Type1,1384.864
Small,Tier 2,Low Fat,0.125154452,Frozen Foods,99.2042,OUT035,Supermarket Type1,1388.8588
Medium,Tier 1,Low Fat,0.027748176,Soft Drinks,86.5198,OUT049,Supermarket Type1,1395.5168
Medium,Tier 1,Regular,0.106492562,Fruits and Vegetables,176.3396,OUT049,Supermarket Type1,1395.5168
Medium,Tier 3,Low Fat,0.0,Household,118.515,OUT018,Supermarket Type2,1398.18
High,Tier 3,Low Fat,0.045818773,Frozen Foods,138.718,OUT013,Supermarket Type1,1398.18
High,Tier 3,Low Fat,0.0,Canned,100.57,OUT013,Supermarket Type1,1398.18
High,Tier 3,Regular,0.056271701,Breakfast,232.23,OUT013,Supermarket Type1,1398.18
High,Tier 3,Low Fat,0.05089667,Household,125.5678,OUT013,Supermarket Type1,1398.8458
Small,Tier 2,Low Fat,0.087652908,Fruits and Vegetables,128.8678,OUT035,Supermarket Type1,1398.8458
Small,Tier 2,Low Fat,0.019866705,Household,154.5972,OUT035,Supermarket Type1,1402.1748
High,Tier 3,Regular,0.074669288,Breads,76.3986,OUT013,Supermarket Type1,1402.1748
Small,Tier 2,Low Fat,0.015856295,Baking Goods,81.6592,OUT035,Supermarket Type1,1403.5064
Small,Tier 2,Regular,0.008564925,Meat,73.2038,OUT035,Supermarket Type1,1404.1722
Small,Tier 1,Regular,0.046808553,Canned,141.4838,OUT046,Supermarket Type1,1404.838
Small,Tier 1,Low Fat,0.044908404,Health and Hygiene,140.2838,OUT046,Supermarket Type1,1404.838
Medium,Tier 1,Low Fat,0.010454459,Canned,115.6808,OUT049,Supermarket Type1,1406.1696
Small,Tier 2,Low Fat,0.128861359,Breads,86.2856,OUT035,Supermarket Type1,1406.1696
Small,Tier 2,Regular,0.0,Fruits and Vegetables,87.1856,OUT035,Supermarket Type1,1406.1696
Small,Tier 1,Regular,0.005963881,Snack Foods,99.5358,OUT046,Supermarket Type1,1407.5012
Small,Tier 2,Low Fat,0.089660816,Canned,140.0496,OUT035,Supermarket Type1,1411.496
Small,Tier 1,Low Fat,0.055840055,Household,139.8496,OUT046,Supermarket Type1,1411.496
Small,Tier 2,Regular,0.128397995,Frozen Foods,178.337,OUT035,Supermarket Type1,1411.496
Medium,Tier 1,Low Fat,0.067039526,Snack Foods,178.337,OUT049,Supermarket Type1,1411.496
Medium,Tier 3,Regular,0.037918142,Snack Foods,129.6994,OUT018,Supermarket Type2,1413.4934
High,Tier 3,Regular,0.03773288,Snack Foods,128.2994,OUT013,Supermarket Type1,1413.4934
High,Tier 3,Low Fat,0.103664897,Snack Foods,233.6932,OUT013,Supermarket Type1,1414.1592
Small,Tier 2,Regular,0.023492524,Snack Foods,155.5288,OUT035,Supermarket Type1,1414.1592
Medium,Tier 1,Low Fat,0.015131684,Frozen Foods,83.025,OUT049,Supermarket Type1,1414.825
Medium,Tier 1,Regular,0.122494876,Fruits and Vegetables,100.1016,OUT049,Supermarket Type1,1416.8224
Medium,Tier 3,Low Fat,0.047290068,Others,100.5016,OUT018,Supermarket Type2,1416.8224
Small,Tier 1,Regular,0.125687917,Fruits and Vegetables,178.2028,OUT046,Supermarket Type1,1416.8224
